Abigail
Adela
Adrianne
Affraic
Agathe
Aibhilín
Aila
Aileen
Aimee
Ajla
Alaina
Alanna
Alba
Albina
Aleena
Alena
Alexa
Alicia
Alisha
Alma
Alondra
Althea
Alya
Alys
Alyson
Alyssa
Amalia
Amalie
Amanda
Anais
Anann
Aneta
Anett
Angel
Angela
Angelica
Anika
Ankita
Anna
Anna Magdalena
Annabel
Annabella
Anne
Annelise
Annika
Antonella
Antonia
Aoife
Arantxa
Ariane
Arianrhod
Arielle
Aslaug
Astrid
Athracht
Augusta
Augustine
Aurea
Austėja
Awa
Azucena
Aíbinn
Badb
Banba
Barrdhubh
Bé Chuille
Bé Fáil
Beag
Bean Mhídhe
Beata
Becki
Begnet
Ben Muman
Bernadine
Bethany
Bethlehem
Biljana
Biróg
Bita
Björg
Boann
Bodhmall
Bogusław
Bohumil
Bonita
Bonnie
Borghild
Bożena
Braden
Branka
Brett
Brigid
Brisa
Britta
Brónach
Brooke
Brooklyn
Burdine
Bébinn
Cacht
Caden
Cadence
Caer Ibormeith
Cailleach
Cainnech
Caintigern
Cairenn
Cairine
Catriona
Candace
Candida
Cara
Carman
Casimir
Celine
Cessair
Cethlenn
Cheryl
Chrissie
Christa
Christi
Christina
Ciara
Cilla
Cindy
Clare
Clarissa
Clarisse
Clementine
Clíodhna
Cobhlaith
Conainne
Cosima
Crista
Cristy
Cynthia
Dagmar
Danand
Danu
Darbiled
Darerca
Deanne
DeAnne
Deborah
Deepti
Deichtine
Deidre
Deirdre
Demi
Dena
Denise
Denyse
Derbforgaill
Desiree
Destiny
Diamond
Diana
Dina
Dionne
Dobromir
Dobroslaw
Dorrit
Doubravka
Drahomíra
Dub Lémna
Dubh Essa
Dubhchobhlaigh
Dymphna
Ebba
Edebe
Elayne
Elektra
Elham
Eliza
Elke
Eloise
Elsa
Else
Emilia
Emily
Emmeline
Emmy
Erlea
Ernmas
Esther
Ethniu
Etti
Eugenia
Evangelina
Eyerusalem
Fabia
Fannie
Fanny
Fedelm
Felicia
Felicity
Femia
Fen
Fernanda
Findabair
Fiona
Fionnghuala
Fionnuala
Flann
Flidais
Flora
Forbflaith
Francisca
Frederique
Freya
Fíneamhain
Fódla
Gabija
Geena
Georgina
Gillian
Giuliana
Gladys
Gormflaith
Gratia
Grażyna
Greta
Gretchen
Grete
Gráinne
Guðrún
Gunhild
Hamdiyah
Hannah
Harriet
Haydée
Hazel
Heidi
Helmi
Heloise
Henrietta
Hessa
Hilda
Hilde
Hildegard
Hildr
Hilma
Ida
Idina
Ilana
Ilene
Ilona
Ilse
Imelda
Imogen
India
Indira
Inez
Ingeborg
Inger
Ingrid
Iola
Irene
Iris
Irma
Isabelle
Isidore
Isla
Ivana
Ivonne
Jacquie
Janica
Jarmila
Jasmine
Jasna
Jemma
Jenni
Jennica
Jenny
Jerry
Jesnie
Jessica
Jillian
Joanna
Joanne
Jodie
Joelle
Johanna
Jolanda
Jolanta
Jolantha
Jolie
Josephine
Judith
Julia
Justine
Karin
Karina
Karla
Karolina
Katarina
Katherine
Katja
Katrin
Katrina
Kazi
Keira
Kimber
Kirsty
Krista
Kristi
Kristin
Kristina
Kunigunde
Květa
Lada
Lan
Lann
Larissa
Lasairfhíona
Latoya
Leanne
Lena
Leonara
Leonie
Lesli
Leticia
Letitia
Letty
Lexa
Lia
Liadian
Liana
Lianne
Liesl
Lila
Liliane
Lilias
Lilly
Lily
Linnéa
Lisanne
Lisbeth
Livia
Ljuba
Logan
Lola
Lorelei
Lorena
Lovisa
Luana
Lya
Lynnette
Lí Ban
Mabel
Macha
Macy
Madelaine
Madeleine
Maeve
Magdalene
Mahsa
Maia
Maite
Maja
Mallika
Malou
Malvina
Mandy
Marcie
Margarita
Margie
Margit
Margot
Marguerite
Mariana
Marianne
Marie
Marie-Claire
Marieke
Mariel
Marilyn
Marina
Marita
Marjory
Martha
Mary
Maryam
Matilde
Maud
Maxine
Maya
Maeve
Megan
Meiling
Melania
Melinda
Merideth
Merima
Merlinda
Mette
Milada
Milena
Miley
Mimi
Mirabel
Miranda
Miriam
Modwenna
Mona
Monica
Moninne
Montserrat
Mór
The Morrígan
Muirenn
Myrtle
Máel Muire
Mór Muman
Nahla
Naomi
Natalee
Nataly
Negar
Negin
Nelly
Nemain
Nerissa
Niamh
Nicholle
Nike
Nikoleta
Nora
Norma
Nyja
Octavia
Odile
Olivera
Onóra
Oriana
Órlaith
Paulette
Paulina
Pavla
Pearl
Penelope
Persis
Petra
Phoebe
Pippa
Plor na mBan
Poppy
Prerna
Priska
Prudence
Prunella
Queenie
Rachel
Raghnailt
Rebecca
Regina
Renee
Renesmee
Richardis
Rimas
Rojina
Roma
Rosalie
Rosanna
Rosie
Ruby
Ruth
Sabrina
Sadhbh
Safala
Samara
Saorlaith
Sara
Sarojini
Saule
Savannah
Scarlett
Scáthach
Scota
Serafina
Seren
Setareh
Shamma
Shania
Shayma
Sheryl
Shirley
Shulamith
Sibyl
Sienna
Sigríður
Síle
Siobhán
Síthmaith
Sláine
Slavena
Sonia
Sophie
Stefi
Stephanie
Stephie
Sunniva
List of Susans
Susanne
Tabitha
Tailtiu
Tamara
Tammy
Tawny
Téa
Teegan
Teresa
Teri
Tinatini
Tisha
Tonantzin
Trina
Tuathflaith
Tómnat
Uallach
Uasal
Ugnė
Ulrica
Úna
Ursula
Uxue
Velma
Vendula
Venla
Vesna
Viera
Viola
Violet
Violetta
Virginia
Vivienne
Vlasta
Wanda
Winny
Xóchitl
Yelena
Yvette
Yvonne
Zena
Zita
Zora
Áedammair
Ériu
